,Facility Name,Address/Phone Number,,Services ,Age minimum,"Amenities (Golf, Swimming)",Occupancy rate,Certificate,Pricing,
11,Flnc Inc,"602 Courtland St Ste 200, Orlando, FL 32804-1340",,,,,,,,
,,,,,,,,,,
12,Longwood HealthCare Center,1520 S. Grant Street,,"RESPIRATORY CARE, WOUND CARE
SURGICAL RECOVERY
STROKE REHABILITATION
IV THERAPY
DEMENTIA AND ALZHEIMER’S CARE
BARIATRIC CARE",,"games,internet, movies, relegious services, gardening, art, horse, fishing, dance, cooking classes, pet therapy, wine tasting, beach trips, exercise therapy",,,,
,,"Longwood, FL 32750",,,,,,,,
,,407-339-9200,,,,,,,,
,,,,,,,,,,
13,"Adventist Care Centers - Courtland, Inc.",730 Courtland Street,,"Full-Range Rehabilitation Services, Post-Operative Care
Pain Management
IV Therapy
Respitory Care
Restorative Nursing Care
Respite Care
Hospice Care
Paliative Care
Lab Services
Medicare and Medicaid Certified
Wound Care Management
",,"Social Services, Beauty and Barber Services, gardening, pet care, intenet, tv
Daily Housekeeping Services
Personal Laundry & Linen Services",,,,
,,"Orlando, FL 32804",,,,,,,,
,,(407) 975-3800,,,,,,,,
,,,,,,,,,,
14,Rosewood Health And Rehabilitation Center,4040 Esplanade Way Suite 280,,"Total knee / hip replacement rehab, Neuromuscular disorders care
Post-operative wound care
Home exercise programs
Kitchen safety education
Resident and family education
Chronic disease management
Wound vac service",,,"currently about 96% full,",Medicare and Medicaid,Daily Cost (Semi-Private Room),
,,"Tallahassee, FL 32,399",,,,,,,$168,
,,(850) 414-2323,,,,,,,,
,,,,,,,,,,
15,Bartow Center,2055 E Georgia St.,,"Post-Acute Services, Skilled Nursing Services
Rehabilitation Programs
Restorative and Long-Term Care
Respite Care
Palliative Care",,,,,,
,,"Bartow, FL 33830",,,,,,,,
,,Phone: 863-533-0578,,,,,,,,
,,,,,,,,,,
16,Southland Suites – Lakeland,4250 Lakeland Highlands Rd,,"Assisted Living, Alzheimer’s and Dementia Care",,"programs, outings, library, gardening, beauty/barber shop, family room",,,,
,,"Lakeland, FL 33813",,,,,,,,
,,855-350-3800,,,,,,,,
,,,,,,,,,,
17,Emeritus at Oakbridge,3110 Oakbridge Boulevard East,,"rehab, respite care, adult day services",,"Direct assistance with everyday tasks, like bathing, dressing and meals, Help with medications
A trained staff available 24 hours a day
Transportation to doctor appointments
Management and monitoring of some health care conditions",,,Assisted Living Rates Starting at: $1800,
,,"Lakeland, FL 33803",,,,,,,Independent Living Rates Starting at: $1800,
,,(863) 455-1081,,,,,,,,
,,,,,,,,,,
18,Highlands Lake Center,4240 Lakeland Highlands Road,,"24 Hour Nursing Care, Occupational, Speech, and Physical Therapy
Partner Program
Family Council
Customer Council
Dietitians for Nutritional Oversight
Customer Ambassador Program",,"Phones in Room, Cable TV
Electric Beds
Beauty/Barber Shop
Personal Laundry
Banking
Internet Cafe
Daily Activities
Wifi for Customers and Families",,,,
,,"Lakeland, FL 33813",,,,,,,,
,,(863) 646-8699,,,,,,,,
,,,,,,,,,,
19,Winter Haven Health and Rehab,202 Avenue O Northeast,,"Post-Acute Services
Skilled Nursing Services
Rehabilitation Programs
Restorative and Long-Term Care
Memories Care......Caring for Memories
Respite Care
Palliative Care",,,,,,
,,"Winter Haven, FL 33881",,,,,,,,
,,Phone: 863-293-3103,,,,,,,,
,,,,,,,,,,
20,Oakbridge Healthcare Center,3110 OAKBRIDGE BLVD E,,,,"Leisure and social activities, Self-care training
Nutritional meals
A place to rest",,,Current Daily Rate ($) of Semi-Private Room :,
,,"LAKELAND, FL 33803",,,,,,,$240.00,
,,(863) 648-4800,,,,,,,,
,,,,,,,,,,
21,Lakeland Hills Center,610 E Bella Vista St,,"Post-Acute Services, Skilled Nursing Services
Rehabilitation Programs
Restorative and Long-Term Care
Respite Care
Palliative Care",,,,,,
,,"Lakeland, FL 33805",,,,,,,,
,,Phone: 863-688-8591,,,,,,,,
,,,,,,,,,,
22,Palm Terrace of Lakeland,1919 Lakeland Hills Blvd [map],,,,nursing-home activities,,,,
,,"Lakeland, FL 33805",,,,,,,,
,,(866) 824-8174,,,,,,,,
,,,,,,,,,,
23,Gulf Coast Village Care Center,1333 Santa Barbara Boulevard,,"Memory Care, Skilled Nursing
Outpatient Rehabilitation
Nursing Visits, including Drawing and Monitoring Lab Values
Assessment and Treatment of All Body Systems
Patient and Caregiver Education and Support
Orthopedics, which includes the crucial therapy following orthopedic surgery
Podiatry
Gastroenterology
Neurology
Urology
Incontinence Management
Medication Assistance
Wound Care
Post-general Surgery Care
Physical, Occupational, and Speech Therapy
Nutritional Education and Support",,"Light Housekeeping and Laundry, Meal Preparation
Shopping and Errands
Bathing, Grooming, and Dressing
Mobility",,,,
,,"Cape Coral, Florida 33991",,,,,,,,
,,p: (239) 772-1333,,,,,,,,
,,,,,,,,,,
24,Sterling House of Cape Coral,1416 Country Club Blvd,,,,"Private apartments, Charming, home-like community settings, medication, nursing, housekeeping, laundry, library, walking area, sun room, family room, activity room,
Areas for socializing, dining and entertaining
Easy access for those with limited mobility",,,,
,,"Cape Coral, FL 33990",,,,,,,,
,,877-713-0915,,,,,,,,
,,,,,,,,,,
25,Edgewater Pointe Estates,23315 Blue Water Circle,,,,"Art classes, Book clubs
Exploritas (formerly Elderhostel) courses offered on-site
Religious studies
Music appreciation
History & political lectures",,,,
,,"Boca Raton, FL 33433",,,,,,,,
,,561-391-3114 or 888-339-2287,,,,,,,,
,,,,,,,,,,
26,The Oaks of Clearwater,420 Bay Avenue,,"memory care, respite care, rehab care, long term nursing",,"Get my hair done, Have lunch with friends...
Karoke with Sandy...
Poker night....
Local restaurant for dinner..lounge, game floors",,,,
,,"Clearwater, Florida 33756",,,,,,,,
,,727-445-4069,,,,,,,,
,,,,,,,,,,
27,regency oaks,200 Maltese Circle #6,,,,"tennis court, laundry, pool, picnic area",,,,
,,"Fern Park, FL 32730",,,,,,,,
,,(407) 831-3711,,,,,,,,
,,,,,,,,,,
28,Freedom Square Rehabilitation & Nursing Services,"10801 Johnson Blvd, Seminole, FL 33772(727) 398-0379",,,,,Medicare and Medicaid,,,
,,,,,,,,,,
29,Mease Manor,700 Mease Plaza,,Short-Term Care and,,"Breakfast at Cracker Barrel (trip), “Shop Til You Drop” at Auditorium
Tropical Breeze — Lunch on the Patio
Gather and Gab
Wii Bowling
The Bistro — Elegant Dining on campus
Skipbo
Scrabble
Bridge",,,,
,,"Dunedin, FL 34698",,Respite Care,,,,,,
,,727-738-3000,,,,,,,,
,,,,,,,,,,
30,The Palms of Largo,"300 Lake Ave NE, Largo, Florida 33771",,"memory care, respite care, health care",,"learning center, children xcenter, exercise classes, business seminars, group meetings, live music and concerts.  free scheduled transportation, complimentary laundry facilities, weekly housekeeping service, a beauty salon/barber shop, library, bank, gift shop boutique, shuffleboard and horseshoe courts, a billiards lounge and ice cream parlor, a fitness center with daily exercise classes, pool, ",,,,
,,727.437.1372 fax,,,,,,,,
,,,,,,,,,,
31,St. Mark Village,"2655 Nebraska Ave, Palm Harbor, FL 34684, United States",,"Rehabilitation Services, Physician Services
All levels of Continuing Care
Assisted Living
Skilled Nursing
Memory Support
Physical Therapy
Occupational Therapy
Speech Therapy",,"Community Center featuring the Dining Room, the Village Creamery, Greenhouse, and Entertainment areaWellness CenterRehabilitation CenterA ChapelPool and SpaFitness Center, Crafts Center and Wood Working ShopLibraryBeauty SalonPersonal parking spaceResident StorageShuffleboard CourtsPondLandscaped grounds",,,,
,,Phone: (727) 785-2580,,,,,,,,
,,,,,,,,,,
32,Canterbury tower,3501 Bayshore Boulevard,,"Restorative, Rehabilitative Health Care, 24 hr. Physician services, Extend Active Years of Retirement
Assistance in Securing a Physician
Skilled Nursing Facility (S.N.F.)
Registered Dietician
Activity Program
Wheelchair Van
Physical, Occupational & Speech Therapy
Personal Safe
Computer hookup in rooms
Wellness Clinic
24 hr. Nursing services
24 hr. Nurse call system
Fully Accredited for Medicare",,"Water Aerobics, Bayfront swimming in heated pool
Exercise classes
Card and Game Room
Weekly Bridge/Annual Tournament
Active resident volunteer groups
Luau and pig roasts
Ballroom Dancing, Picnics in the Park
Area Shopping Excursions
BINGO MONDAY 7:30-9
High Noon Teas
Nightly Movies
Weekly Cocktail Parties
Performing Arts Centre
Scheduled Dinner Theatre Shows
Dinner Theatre
Ice Cream Socials
Friday Bridge Tournament
Guest Speakers on Topics of Interest
Women's Fashion Shows
Regular Cocktail Parties and Entertainment
Trips to Tampa Bay Performing Arts Center
Special Event and Holiday Cocktail Parties
Hawaiian Luau Pig Roasts
Morning walks on Bayshore
Local and National Entertainers
Lunch at Local Restaurants
Lunchtime Cruises
Language Classes",,,,
,,"Tampa, Fl 33629",,,,,,,,
,,813-837-1083,,,,,,,,
,,,,,,,,,,
33,Westminster Suncoast,"1095 Pinellas Point Drive S
St. Petersburg, FL 33705 (Map) 
Locally: (727) 867-1131 ",,"Automated pharmacy services, rehab , memory care, home care",,,,,,
,,,,,,,,,,
34,University Village FL,12401 North 22nd Street,,"short term rehab, memory care, skilled nursing, respite care",,"library, chapel, health and wellness center, full-service bank, beauty salon/barbershop, craft room, woodworking shop, card rooms, heated lap-length pool and spa",,,,
,,Tampa FL 33612,,,,,,,,
,,(877) 284-6534,,,,,,,,
,,,,,,,,,,
35,St. Joseph's John Knox Village,"4100 E. Fletcher Avenue
Tampa, FL 33613
",,"On-site Med Center, Weekly on-premises physician appointments
Physical, occupational and speech therapy in your home
Private home health",,"Custom carpeting and paint, All utilities except phone, pool, theater, exercise room, dance studio, card room, art n craft room, games, library, beauty/barber shop, bank, grocery store
Satellite television
Fully equipped kitchens
Emergency call system in each apartment
Window treatments (blinds)
Optional upgrades for additional cost
Optional patios where possible
For carefree living:
Gated community
Bi-monthly housekeeping
Weekly flat linen laundry service
Discretionary dollar meal allowance
24-hour emergency response system
24-hour maintenance
24-hour security
Pharmacy delivery
Scheduled transportation",,,,
,,1-800-272-5669,,,,,,,,
,,,,,,,,,,
36,The Alliance Community for Retirement Living,600 South Florida Avenue,,"Admissions and Therapy Services 7 days a week, Comprehensive Rehabilitation Programs including Stroke, Cardiac and Congestive Heart Failure
Customized Care Planning
Physical, Occupational and Speech Therapists
Delicious meals served in Cozy Dining Settings
Registered Dietitian",,"Full Laundry Service, Beauty/Barber Shop, Heated Swimming Pool
• Spa
• Exercise Room
• Library
•Planned Activities
• 24 Hour Security
Private Rooms, Semi-Private Rooms and Suites
Daily Activity Programs
Religious services with Clergy
Hospice Services available through licensed agencies
Secure Outdoor Courtyard, screened porch and balcony
Free Cable and Wi Fi Access
",,,"SINGLE WAS: $52,857 TO $216,626
NOW: $44,928 TO $184,132
$756 TO $1,051
COUPLE
WAS: $58,143 TO $238,288
NOW: $49,422 TO $202,545
$841 TO $1,126",
,,"DeLand, FL 32720",,,,,,,,
,,1-800-334-4133 or (386) 734-3481,,,,,,,,
,,,,,,,,,,
37,Alliance Community,"200 East State Street  |  Alliance, Ohio 44601  |  (330) 596-6000",,"critical care, pulmonary, birthplace, digeastive care, home care",,gift shop,,,,
,,,,,,,,,,
38,John Knox Village Central Florida,"698 Monastery RoadOrange City, FL 32763",,"memory care, long term care, rehab",,"Wii bowling, walking, table tennis, aqua fitness classes, pool aerobics, Muscles & Motion exercises, neck and back exercises, line dancing, ballroom dancing, Tai Chi,  brain fitness and computer lab courses, book clubs, Stetson University Road Scholar Program, visiting professors’ lectures, book reviews with authors, historical studies and medical guest speakers.",,,,
,,386-775-0788,,,,,,,,
,,,,,,,,,,
39,Renaissance Retirement Community,9508 E. Riggs Road,,,,"Charming Gazebo, Distinctive Billiards Room
Game and Card Room
Inviting Garden Terrace Dining Room
24 Hour Monitored Entry
Beautifully Appointed Resident Library
Bellini's Bar/Pub
Chauffeur Service
Arts and Crafts Studios
Kingswood Private Dining Room
Stunning Oasis Dining Room
Internet Lounge
Hair Salon with Grooming
Massage Therapist
Exercise Center
Medical Office
Movie Theater
Information Seminars
Elegant Countryside Dining Room
Organized Group Activities
Neopolitan's Ice Cream Shop
Room Service
Worship Services
Spacious Lobby & Grand Fireplace
Shop for Gifts at the Corner Shop",,,,
,,"Sun Lakes, AZ 85248",,,,,,,,
,,Phone: 480-883-2000,,,,,,,,
,,,,,,,,,,
40,Lakeview Terrace,"331 Raintree Drive • Altoona, Florida • 32702-9609 • Phone: 352-669-3148",,"life care, health care, long term nursing, ",,"Spacious garden homes & apartmentsTwo fishing lakes24-hour healthcare availableCommunity building Wi-fiMedicare-certified home health servicesPhysical, occupational & speech therapyDelicious dining in our restaurantLawn bowling / bocce courtsRecreational activities directorCable TV includedBeauty shopComprehensive libraryPets allowed",Gated community with security staffScenic lake & woodland locationWeekly housekeepingMaintenanceShuffleboard courtsHeated pool & spaLighted walking pathsIn-house TV channel (LVTV)Washer/dryer in all residencesOn-site bank & general storeAccommodations for guestsHelpful coordination of your movePractice Range & Senior Golf Course,,,
,,,,,,,,,,
41,Mayflower,"1620 Mayflower Court • Winter Park, FL 32792 (407) 672-1620",,"short- or long-term care, rehabilitation, assisted living, skilled nursing.",,"Cruise the Mediterranean. Learn to speak a foreign language. Work out in a Tai Chi class. Enjoy an in-room massage. Take a gourmet dining excursion. Debate political issues. Take a class at nearby, pool, parlor, games, bank, fitness center, art n craft room, picnic area, walking trails",,,,
,,,,,,,,,,
42,Winter Park Towers,1111 South Lakemont Avenue,,"skilled nursing, rehab , memory care, health care",,"home styles, activities, dining, progressive fitness and wellness programs.",,,,
,,"Winter Park, FL 32792 ",,,,,,,,
,,Locally: (407) 647-4083,,,,,,,,
,,,,,,,,,,
43,Harbour's Edge FL,Harbour’s Edge,,"24-hour oversight from RNs (registered nurses), LPNs (licensed practical nurses) and/or CNAs (certified nursing assistants), On-site physicians specializing in internal medicine/gerontology, podiatry, dentistry, optometry and neurology
Medicare-approved rehabilitative care including PT (physical therapy), OT (occupational therapy) and ST (speech therapy)
A chaplain, a licensed social worker and social service coordinator, an activity professional, and a dietician
FitSix® integrated wellness program",,,,,,
,,401 East Linton Blvd.,,,,,,,,
,,"Delray Beach, FL 33483",,,,,,,,
,,888-417-9281,,,,,,,,
,,,,,,,,,,
44,Abbey Delray,"2000 LOWSON BLVD | DELRAY BEACH, FL 33445 | 561.454.2000",,,,various activities,,,,
,,,,,,,,,,
45,Vi at Lakeside Village,"2792 Donnelly Dr, Lake Worth, FL 33462, United States",,"assisted living, memory support, skilled nursing",,"salon, spa, library, community room, pet, guest rooms, ",,,,
,,(866) 961-5314,,,,,,,,
,,,,,,,,,,
46,St. Andrews Estates North,6152 North Verde Trail [map],,"assisted living, skilled nursing",,"LobbyDining RoomShuffle BoardOutdoor PoolBistroAuditorium, Pet friendly
Library with reading room, current periodicals, videos and DVDs
Gazebo/Picnic area
Card room
Wood workshop
Art room
Craft room
Walking trails
Fishing lake
Fitness center
Fitness classes on-site
Putting green
Shuffleboard
Outdoor swimming pool
Horseshoe court
Game room/billiard room
Day and overnight trips available
Life long learning opportunities
Auditorium",,CARF-CCAC accredited,"Entrance Fees starting at $94,900
Monthly Fees
starting at $1,926",
,,"Boca Raton, FL 33433",,,,,,,,
,,(866) 824-8174,,,,,,,,
,,,,,,,,,,
47,Stratford Court of Boca Pointe,"6343 Via De Sonrisa Del Sur Boca Raton, FL 33433 • Direct: 561-392-5940",,"assisted living, skilled nursing, memory care, ",,"Social, educational and recreational activities, Fitness center
Heated swimming pool and hot tub
On-site beauty salon and barber shop
Café, library, great room and lounge areas
Apartment maintenance and repair services with on-site maintenance crew
Two public parks just blocks away
Florida room
Activity and card rooms, creative arts room, library and community living room with fireplace",,,,
,,,,,,,,,,
48,Edgewater Pointe Estates,"23315 Blue Water Cir, Boca Raton, FL 33433",,"assisted living, skilled nursing, memory care, ",,"Pet friendly, Library with reading room, current periodicals, videos and DVDs
Gazebo/Picnic area
Card room
Wood workshop
Art room
Craft room
Walking trails
Fishing lake
Fitness center
Fitness classes on-site
Putting green
Croquet court
Shuffleboard
Outdoor swimming pool
Horseshoe court
Game room/billiard room
Day and overnight trips available
Life long learning opportunities
Auditorium","Entrance Fees starting at $97,900
Monthly Fees
starting at $1,965",CARF-CCAC accredited,,
,,561-391-6305,,,,,,,,
,,,,,,,,,,
49,shell point,1-800-780-1131,,"assisted living, skilled nursing, memory care, speciality care",,"dinnimng, golf, boating, train room, salon, swimmingh, tennis, fitness, pottery, knitting, quilling, beading",,,,
,,"Fort Myers, FL 33908",,,,,,,,
,,,,,,,,,,
50,Vi at Bentley Village,(888) 506-9426,,"assisted living, skilled nursing, memory care, ",,"salon, spa, library, community room, outdoor spaces, guest amenities",,,,
,,"704 village circle, naples, FL 34110",,,,,,,,
,,,,,,,,,,
51,South Port Square,23023 Westchester Blvd,,"Assisted Living and Alzheimer’s & Dementia Care, Skilled nursing",,"programs, outings, events, fitness, cafe, swimming, games, billiards, art and craft, library. outdoorn garden, bank, laundry",,,,
,,"Port Charlotte, FL 33980",,,,,,,,
,,941-235-4500,,,,,,,,
,,,,,,,,,,
52,Glenview at Pelican Bay,100 Glenview Pl,,"Senior Independent Living and Skilled Nursing Care, Diabetic care",,"Beauty salon/Barber shop, Cable / Satellite TV
Controlled Access
Courtyard
Covered parking
Swimming pool
Whirlpool spa
Laundry room
Recreation room
Library",,,,
,,"Naples, FL 34108",,,,,,,,
,,239-591-0011,,,,,,,,
,,,,,,,,,,
53,Arbor Trace,1000 Arbor Lake Drive,,"Centrally-located nursing center, Each residential wing has its own gathering room for group activities or socializing with family and friends.
Residents enjoy camaraderie among friends at three delicious and nutritionally balanced meals daily in the Garden Court Cafe.
Emergency response system.
Transportation for scheduled medical and dental appointments, as well as off-site activities.
Professional nurses on duty around the clock.
On-site events and off-site excursions are coordinated by our full time Life Enrichment Coordinator for the stimulation and well-being of residents.
Wellness services such as blood pressure monitoring, weight measurements, health consultations and referrals are included in the basic service.",,"Library, Beauty salon & barber shop
Computer room with high-speed internet access and WiFi
Card room & lounges
Activity & media room
Exercise room, Outdoor heated pool and spa
Tennis court
Putting green
Horseshoe pit
Shuffleboard courts
Picnic pavilion
Naturally landscaped walkways and park benches
Bicycling",,,,
,,"Naples, FL 34110",,,,,,,,
,,(239) 598-3490,,,,,,,,
,,,,,,,,,,
54,Moorings Park,120 Moorings Park Drive,,"Physician Services, Short-Term Rehabilitation
Nursing Services
Social Services
Dining Services
Activities Programming",,"tram service, fitness prog, activities, Orchid House and Garden Areas
Observation Decks by our lakes for picnics, fishing or enjoying wildlife
Beauty Salons
Full Service Bank with Safety Deposit Boxes
Guest Suites
Boutique
Car Rinse
Valet Service
Gated Entrance with 24-hour security
Orchid TerraceTM - Assisted Living
The Chateau® - Skilled Nursing
Rehabilitation Services (Physical, Occupational & Speech)
Physicians' Offices
Medicare Certified Home Health Agency",,,,
,,"Naples, Florida, 34105",,,,,,,,
,,239-643-9111,,,,,,,,
,,,,,,,,,,
55,Atrium Jacksonville,9960 Atrium Way,,"Independent Living, Assisted Living and Skilled Nursing Care",,"programs, puings, events, pet friendly, games room, billiards, cafe, general store, wellness clinic, art and craft, library, walking path, beauty/barber, community room, laundry",,,,
,,"Jacksonville, FL 32225",,,,,,,,
,,855-350-3800,,,,,,,,
,,,,,,,,,,
56,Westminster Woods ,80 West Lucerne Circle,,"Independent Living, Assisted Living and Skilled Nursing Care, rehab, memory care",,,,,,
,,"Orlando, FL 32801",,,,,,,,
,,In Orlando (407) 839-5050,,,,,,,,
,,,,,,,,,,
57,Moosehaven,1701 Park Avenue,,medical care,65+,"indoor heated swimming pool, the four lane bowling center, game room, exercise center, the woodworking shop, the driving range, fishing on the 400’ concrete pier, walking and cycling, off-campus shopping trips, daytime excursions, dances, dinners and parties.crafts, bingo, cards, chess, Opportunity Lodg",,,,
,,"Orange Park Florida, 32073",,,,,,,,
,,904 278-1200,,,,,,,,
,,,,,,,,,,
58,Fleet Landing,"Atlantic Beach, FL 32233",,"Independent Living, Assisted Living and Skilled Nursing Care, rehab, memory care",,"fine dining and plenty ofrecreational activities,  aquasize, yoga, Tai Chi, and Wii",,,,
,,877.591.6547,,,,,,,,
,,,,,,,,,,
59,Vicar's Landing,904-285-6000,,,,,,,,
,,"1003 York Rd, Ponte Vedra Bch, FL 32082, United States",,health care benefits,,"members workshop, fitness center, library, card room , bank, beauty/salon, worship center, games rtoom, pool, multiple dinning options",,,,
,,,,,,,,,,
60,Glenmoor,"235 Towerview Dr, St Augustine, FL 32092, United States",,"Type A-Life Care, Type B-Modified Life Care and Type C-Fee-For-Service, assisted living and skilled nursing",,"clib house, bridge group, fitness cenetr, library, ball court, shops, golf course, beauty salon, worship center, aquatics center, threapy center",,,,
,,Phone:+1 904-940-4800,,,,,,,,
,,,,,,,,,,
61,Penney Retirement Community,3495 Hoffman St,,"dementia care, health care, rehab, wellness care, 24-Hour Nurse Responder",55+,"Indoor, solar-heated, Olympic-size swimming pool, Jacuzzi, art and craft, clubs, sports and recreation, church related activities
Fitness/wellness center
Executive golf course
Tennis courts
Library
Community garden
Coffee shop
Game room",,,,
,,"Green Cove Springs, FL, United States",,,,,,,,
,,904-284-8200,,,,,,,,
,,,,,,,,,,
62,Florida Presbyterian Homes,"16 Lake Hunter Dr, Lakeland, FL 33803, United States
+1 863-688-5521",,"assisted living, skilled nursing",,"library, art and craft, music, fitness center, pool, outdoor activities, gardening, bowling, celebration of events",,,,
,,,,,,,,,,
63,The Estates at Carpenters,"1001 Carpenters Way, Lakeland, FL 33809, United States",,"independent living, assisted living, skilled nursing, ",,"Certified Chef , Heated Swimming Pool & Spa 
Fitness Room with a Fitness Trainer On-site 
Scheduled Activities and Cultural Events 
Staffed Wellness Clinic 
Beauty Salon 
Scheduled Transportation 
CCRC with Assisted Living and Skilled Nursing on-site 
Bistro (Coffee Shop) 
Gift Shop 
Billiards Room & Wii Gaming System 
Two On-site Libraries (including large print and audio books) 
Shuffleboard and Horseshoes 
Community Auditorium 
Community and Private Dining Rooms
Computer Lab (classes available)
Woodworking Shop
Art Studio
Dog Park
",,,,
,,863-858-3847,,,,,,,,
,,,,,,,,,,
64,Freedom Plaza Sun City Center,1010 American Eagle Boulevard,,"Independent Living, Assisted Living
Alzheimer’s and Dementia Care
Skilled Nursing Care",,"Exercise and fitness programs, Housekeeping and linen services
Staff available 24 hours a day for residents convenience or in case of emergency
Scheduled transportation services
All utilities paid excluding local phone
Daily cultural, social and/or educational programs, outings or events
Health and wellness services
Guest accomodations
Health screenings
Priority access to other levels of care
Assurance program
Locked-in healthcare benefits
Library
Special indoor walking track
Recreation rooms
Woodworking shop
Indoor/outdoor heated swimming pool and jacuzzi spa
Exercise rooms
Beauty salon/Barber shop",,,,
,,"Sun City Center, FL 33573",,,,,,,,
,,866-360-8340,,,,,,,,
,,,,,,,,,,
65,St. Joseph's John Knox Village,"4000 E Fletcher Ave, Tampa, FL 33613, United States
+1 813-632-2327",,"assisted living, skilled nursing, memory care",,"medical center, pool, exercise room, wellness room, computer lab, dance, theater, art and craft, library, gift shop, restaurnat, beauty, laundry, bank",,,,
,,,,,,,,,,
66,Solivita,8601 N. Scottsdale Road Suite 225,,,55+,"golf, dining options, fitness center, golf, ballroom, clubs, pools, two spas, indoor track, dance studio and sauna.",,,,
,,"Scottsdale, Arizona 85283",,,,,,,,
,,480-214-7400,,,,,,,,
,,,,,,,,,,
67,University Village FL,12401 North 22nd Street,,"assisted living, skilled nursing, memory care, respite care, rehab",,,,,,
,,Tampa FL 33612,,,,,,,,
,,813-975-5009,,,,,,,,
,,,,,,,,,,
68,Good Samaritan Village at Kissimmee,"4250 Village Dr, Kissimmee, FL 34746, United States",,"assisted living, skilled nursing, memory care, respite care, rehab",,,,,,
,,1-800-859-1550,,,,,,,,
,,(407) 933-1999,,,,,,,,
,,,,,,,,,,
69,Canterbury Tower,"3501 Bayshore Blvd, Tampa, FL 33629, United States",,"Restorative, Rehabilitative Health Care, Extend Active Years of Retirement
Assistance in Securing a Physician
Skilled Nursing Facility (S.N.F.)
Registered Dietician
Activity Program
Wheelchair Van
Physical, Occupational & Speech Therapy
Personal Safe
Computer hookup in rooms
Wellness Clinic",,"parties, pool, exercise, games, dance, picnic, craft, cruises",,,,
,,813-837-1083,,,,,,,,
,,,,,,,,,,
